Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,modularity_class
"孙志娟227",孙志娟227,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,242,0,0,0
"西良村完小张衡",西良村完小张衡,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,243,0,0,0
"李豫27391038476081556",李豫27391038476081556,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,244,0,0,1
"相思枫叶丹cc",相思枫叶丹cc,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,245,0,0,0
"张家禹",张家禹,,0,3,3,0,32,32,1,1,1,0,0,0.053723,0.000914,0,246,0,0,0
"王新娟 十中",王新娟 十中,,0,2,2,0,10,10,1,1,1,0,0,0.034703,0.000914,0,247,0,0,0
"是娜娜喔",是娜娜喔,,0,4,4,0,33,33,1,1,1,0,0,0.053827,0.000914,0,249,0.25,0,0
"李玉婷11",李玉婷11,,0,2,2,0,18,18,1,1,1,0,0,0.036438,0.000914,0,250,0,0,0
"赵欢1",赵欢1,,2,3,5,2,26,28,1,1,1,0,0.003426,0.053723,0.000998,0,59,0.3,0.004281,0
"郭学荣",郭学荣,,0,2,2,0,10,10,1,1,1,0,0,0.034703,0.000914,0,251,0,0,0
"冰儿k1262629733937037169",冰儿k1262629733937037169,,0,4,4,0,20,20,1,1,1,0,0,0.053775,0.000914,0,253,0.25,0,0
"二中蒋学军",二中蒋学军,,0,1,1,0,4,4,1,1,1,0,0,0.017418,0.000914,0,254,0,0,0
"朱程芳15137335868",朱程芳15137335868,,0,2,2,0,25,25,1,1,1,0,0,0.034703,0.000914,0,255,0,0,0
"李玮NO1",李玮NO1,,1,15,16,1,27,28,3,0.677419,0.825397,14,0.001727,0.054783,0.000953,0,63,0.1625,0.001946,2
"郑贵升",郑贵升,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,256,0,0,0
neverykt1536758639588,neverykt1536758639588,,0,2,2,0,6,6,1,1,1,0,0,0.034703,0.000914,0,257,0,0,0
"教师于伟",教师于伟,,1,3,4,1,10,11,1,1,1,0,0.001724,0.053723,0.000944,0,239,0.25,0.001946,0
19市场营销专升本游玮,19市场营销专升本游玮,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,258,0,0,0
"张振霞18236160724",张振霞18236160724,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,259,0,0,2
"王高萍",王高萍,,0,2,2,0,6,6,1,1,1,0,0,0.034703,0.000914,0,260,0,0,2
SCNU刘小雨,SCNU刘小雨,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,261,0,0,0
"马梦圆_",马梦圆_,,0,3,3,0,12,12,1,1,1,0,0,0.053723,0.000914,0,262,0,0,0
chenghui0512,chenghui0512,,0,2,2,0,13,13,1,1,1,0,0,0.034703,0.000914,0,263,0,0,2
"何世麒",何世麒,,1,6,7,1,28,29,1,1,1,0,0,0.053827,0.000914,0,264,0.333333,0.002375,0
SCNU20龙石兰,SCNU20龙石兰,,0,2,2,0,13,13,1,1,1,0,0,0.034703,0.000914,0,265,0,0,2
"董桂敏",董桂敏,,0,3,3,0,17,17,1,1,1,0,0,0.053723,0.000914,0,266,0,0,2
"胡宗耀-",胡宗耀-,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,267,0,0,0
SUXIN2020,SUXIN2020,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,268,0,0,0
"黑龙江省前哨农场学校徐莹",黑龙江省前哨农场学校徐莹,,1,3,4,1,23,24,1,1,1,0,0.001727,0.053723,0.000953,0,75,0.25,0.001946,2
"二中李爱国",二中李爱国,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,269,0,0,0
"江苏师大21级教育技术学研究生 +康亚俊",江苏师大21级教育技术学研究生 +康亚俊,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,270,0,0,0
"郝  亮",郝  亮,,3,3,6,3,25,28,1,1,1,0,0.005148,0.053723,0.001087,0,36,0.333333,0.006615,2
mooc9736894572418285,mooc9736894572418285,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,271,0,0,0
"祁金红",祁金红,,1,3,4,1,20,21,1,1,1,0,0.001702,0.053723,0.000968,0,57,0.25,0.002334,0
"李茹lr",李茹lr,,0,4,4,0,23,23,3,0.666667,0.805556,0,0,0.053881,0.000914,0,272,0.25,0,1
"燕子亭",燕子亭,,0,2,2,0,6,6,1,1,1,0,0,0.036438,0.000914,0,273,0,0,1
"肖明霞二中",肖明霞二中,,1,2,3,1,25,26,1,1,1,0,0.001727,0.036438,0.000953,0,70,0.333333,0.001946,1
"许卫民",许卫民,,1,3,4,1,48,49,1,1,1,0,0.001724,0.053723,0.000944,0,238,0.25,0.001946,0
lizancheng163com,lizancheng163com,,2,3,5,2,26,28,1,1,1,0.1,0.002876,0.053723,0.001013,0,64,0.25,0.003893,1
"任珍珍李源屯镇西良村完全小学",任珍珍李源屯镇西良村完全小学,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,274,0,0,1
"刘春海辉县二中",刘春海辉县二中,,1,3,4,1,23,24,1,1,1,0,0.001702,0.053723,0.000968,0,62,0.25,0.002334,0
"新乡市凤泉区大块第四小学申晨",新乡市凤泉区大块第四小学申晨,,3,4,7,3,23,26,2,0.833333,0.9,5,0.005082,0.053775,0.001303,0,74,0.285714,0.005839,2
"何小小小逗",何小小小逗,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,275,0,0,2
YAmooc17,YAmooc17,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,276,0,0,0
"温智慧1",温智慧1,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,277,0,0,1
SCNU20魏晴,SCNU20魏晴,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,278,0,0,2
jiayanling1984,jiayanling1984,,0,3,3,0,12,12,1,1,1,0,0,0.053723,0.000914,0,279,0,0,1
mooc14750555553279375,mooc14750555553279375,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,280,0,0,0
zuoyinhong163com,zuoyinhong163com,,1,3,4,1,23,24,1,1,1,0,0.001724,0.053723,0.000944,0,237,0.25,0.001946,1
"朱贝mooc",朱贝mooc,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,281,0,0,2
SCNU20梁茵然,SCNU20梁茵然,,0,3,3,0,23,23,1,1,1,0,0,0.053723,0.000914,0,282,0,0,0
"张敏怡zmy",张敏怡zmy,,0,4,4,0,29,29,1,1,1,0,0,0.053827,0.000914,0,283,0.25,0,0
"曹文缤",曹文缤,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,284,0,0,2
"邢敏敏mooc60638450543292239",邢敏敏mooc60638450543292239,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,285,0,0,2
CBonjour1994925,CBonjour1994925,,1,3,4,1,18,19,1,1,1,0,0.001671,0.053723,0.001109,0,252,0.25,0.001946,0
"邱艺",邱艺,,481,0,481,2077,0,2077,0,0,0,0,0.612229,0,0.211162,0,0,0.000593,1,1
mooc11582164657873,mooc11582164657873,,0,3,3,0,6,6,1,1,1,0,0,0.053723,0.000914,0,286,0,0,0
"王浩铭1",王浩铭1,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,287,0,0,1
SCNU20邓彩妹,SCNU20邓彩妹,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,288,0,0,2
mooc15348270109233287,mooc15348270109233287,,0,1,1,0,3,3,1,1,1,0,0,0.01902,0.000914,0,289,0,0,1
"贾宝平",贾宝平,,0,2,2,0,16,16,1,1,1,0,0,0.036438,0.000914,0,290,0,0,1
"苗苗k123687880724422184",苗苗k123687880724422184,,0,2,2,0,4,4,1,1,1,0,0,0.036438,0.000914,0,291,0,0,1
XZLHSS,XZLHSS,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,292,0,0,2
"剑氣箫心",剑氣箫心,,0,3,3,0,10,10,1,1,1,0,0,0.053723,0.000914,0,293,0,0,1
SCNU20罗夏斌,SCNU20罗夏斌,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,294,0,0,0
"黄奎1111",黄奎1111,,0,3,3,0,22,22,1,1,1,0,0,0.053723,0.000914,0,295,0,0,0
"永奇k1261160837435403475",永奇k1261160837435403475,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,296,0,0,2
mooc56134296807179689,mooc56134296807179689,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,297,0,0,2
"何少恒",何少恒,,1,3,4,1,20,21,1,1,1,0,0.001671,0.053723,0.001109,0,298,0.25,0.001946,2
"陈淞玮",陈淞玮,,0,4,4,0,31,31,1,1,1,0,0,0.053775,0.000914,0,300,0.166667,0,0
"吴永森",吴永森,,0,3,3,0,24,24,1,1,1,0,0,0.053723,0.000914,0,301,0,0,1
mooc28692973163728423,mooc28692973163728423,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,302,0,0,2
"任喜梅-辉县二中",任喜梅-辉县二中,,0,1,1,0,1,1,1,1,1,0,0,0.017418,0.000914,0,303,0,0,0
"木了个洋",木了个洋,,0,2,2,0,12,12,1,1,1,0,0,0.034703,0.000914,0,304,0,0,2
"冯蒙蒙mooc",冯蒙蒙mooc,,1,4,5,1,23,24,1,1,1,3,0.001671,0.053828,0.001191,0,73,0.3,0.00311,0
yvonnyii,yvonnyii,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,305,0,0,2
mooc3413333330625655,mooc3413333330625655,,0,3,3,0,13,13,1,1,1,0,0,0.053723,0.000914,0,306,0,0,2
"李建威1",李建威1,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,307,0,0,2
"许金勇mooc",许金勇mooc,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,308,0,0,0
"新乡幼师附小张莹",新乡幼师附小张莹,,0,3,3,0,31,31,1,1,1,0,0,0.053723,0.000914,0,309,0,0,0
mooc46646685150630964,mooc46646685150630964,,0,2,2,0,16,16,1,1,1,0,0,0.034703,0.000914,0,310,0,0,2
"新乡王丹阳",新乡王丹阳,,0,3,3,0,21,21,1,1,1,0,0,0.053723,0.000914,0,311,0,0,2
"张蒙华",张蒙华,,1,3,4,1,18,19,1,1,1,2,0.000591,0.053723,0.001303,0,312,0.083333,0.001946,0
"张沙沙----",张沙沙----,,1,2,3,2,21,23,1,1,1,0,0.001702,0.034703,0.000968,0,60,0.333333,0.002334,2
"辉县市实验学校马郑琴",辉县市实验学校马郑琴,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,313,0,0,2
caoying725,caoying725,,1,3,4,1,21,22,1,1,1,0,0.001727,0.053723,0.000953,0,76,0.25,0.001946,1
"辉县市实验学校马东梅",辉县市实验学校马东梅,,0,3,3,0,14,14,1,1,1,0,0,0.036492,0.000914,0,315,0.166667,0,0
"附中王青山",附中王青山,,0,3,3,0,12,12,1,1,1,0,0,0.053723,0.000914,0,316,0,0,0
"秦树强1",秦树强1,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,317,0,0,2
"谢幼如",谢幼如,,371,0,371,1913,0,1913,0,0,0,0,0.556368,0,0.115015,0,2,0.000896,0.783412,2
SCNU20 贺丽娟,SCNU20 贺丽娟,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,318,0,0,2
"朱晨淼",朱晨淼,,0,2,2,0,5,5,1,1,1,0,0,0.036305,0.000914,0,319,0,0,2
"指挥旗",指挥旗,,0,2,2,0,7,7,1,1,1,0,0,0.036305,0.000914,0,320,0,0,1
"闫泽贝18749110830",闫泽贝18749110830,,1,3,4,1,18,19,1,1,1,0,0.001727,0.053723,0.000953,0,69,0.25,0.001946,2
"三小营学校刘帅军",三小营学校刘帅军,,2,3,5,2,25,27,1,1,1,0,0.003429,0.053723,0.001007,0,55,0.35,0.004281,2
"山楂糖葫芦",山楂糖葫芦,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,321,0,0,1
mooc65936461147158935,mooc65936461147158935,,1,1,2,1,2,3,1,1,1,0.1,0.001149,0.017285,0.000974,0,154,0,0.001946,2
"王美领",王美领,,1,6,7,1,21,22,4,0.447368,0.568627,0,0,0.054005,0.000914,0,322,0.333333,0.002375,2
"张丽丽1990",张丽丽1990,,2,3,5,2,15,17,1,1,1,0,0.003345,0.053723,0.001303,0,248,0.3,0.003893,1
ykt1515933229436,ykt1515933229436,,1,3,4,1,8,9,1,1,1,0.1,0.001149,0.053723,0.000974,0,153,0.166667,0.001946,0
"程燕0923",程燕0923,,0,3,3,0,17,17,1,1,1,0,0,0.053723,0.000914,0,323,0,0,0
"辉县二中李学顺",辉县二中李学顺,,0,3,3,0,9,9,1,1,1,0,0,0.053723,0.000914,0,324,0,0,0
"宋玉昊",宋玉昊,,1,3,4,1,16,17,1,1,1,0.833333,0.000605,0.053723,0.00107,0,82,0.083333,0.001946,2
"李献莉",李献莉,,1,3,4,2,11,13,1,1,1,0,0.001727,0.053723,0.000953,0,72,0.25,0.001946,2
"原新洁",原新洁,,0,5,5,0,30,30,1,1,1,0,0,0.053827,0.000914,0,326,0.25,0,1
SMU20170463316,SMU20170463316,,0,4,4,0,18,18,1,1,1,0,0,0.053775,0.000914,0,327,0.25,0,0
"蔡勤发",蔡勤发,,0,2,2,0,14,14,1,1,1,0,0,0.034703,0.000914,0,328,0,0,0
"阿牛k1261096825628687477",阿牛k1261096825628687477,,0,2,2,0,4,4,1,1,1,0,0,0.036438,0.000914,0,329,0,0,1
A杨振民,A杨振民,,0,3,3,0,20,20,1,1,1,0,0,0.053723,0.000914,0,330,0,0,1
mooc49968455803653610,mooc49968455803653610,,1,2,3,1,7,8,1,1,1,0,0.001724,0.036305,0.000944,0,235,0.333333,0.001946,1
"空心宇航",空心宇航,,0,1,1,0,3,3,1,1,1,0,0,0.017285,0.000914,0,331,0,0,2
dfhxixi0303,dfhxixi0303,,0,3,3,0,11,11,1,1,1,0,0,0.053723,0.000914,0,332,0,0,0
"丘耀君",丘耀君,,0,3,3,0,15,15,1,1,1,0,0,0.053723,0.000914,0,333,0,0,2
"安纪娟",安纪娟,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,334,0,0,2
"任梦诗18790625320",任梦诗18790625320,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,335,0,0,0
k1222212761180910210,k1222212761180910210,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,336,0,0,0
mooc75518378332568959,mooc75518378332568959,,0,3,3,0,17,17,1,1,1,0,0,0.053723,0.000914,0,337,0,0,0
SCNU-桂佳琪,SCNU-桂佳琪,,0,1,1,0,4,4,1,1,1,0,0,0.017418,0.000914,0,338,0,0,0
mooc云师大程潇爽,mooc云师大程潇爽,,0,3,3,0,8,8,1,1,1,0,0,0.053723,0.000914,0,339,0,0,1
"孙野20190119686",孙野20190119686,,2,2,4,2,20,22,1,1,1,0,0.003401,0.036438,0.001158,0,37,0.333333,0.006414,1
"董董冯冯",董董冯冯,,0,3,3,0,16,16,1,1,1,0,0,0.053723,0.000914,0,340,0,0,0
Aaaaactive,Aaaaactive,,1,3,4,1,11,12,1,1,1,0,0.001727,0.053723,0.000953,0,71,0.25,0.001946,1
190735陈勇佳,190735陈勇佳,,0,2,2,0,9,9,1,1,1,0,0,0.034703,0.000914,0,341,0,0,0
mooc64628601470865785,mooc64628601470865785,,0,3,3,0,6,6,1,1,1,0,0,0.053723,0.000914,0,342,0,0,2
18智11滕宏鑫,18智11滕宏鑫,,0,3,3,0,9,9,1,1,1,0,0,0.053723,0.000914,0,343,0,0,2
"岳河英",岳河英,,0,2,2,0,12,12,1,1,1,0,0,0.034703,0.000914,0,344,0,0,0
"绿叶上的露水",绿叶上的露水,,0,3,3,0,25,25,1,1,1,0,0,0.053723,0.000914,0,345,0,0,0
"陵园小学李停",陵园小学李停,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,346,0,0,0
"侯武周",侯武周,,0,4,4,0,15,15,1,1,1,0,0,0.053775,0.000914,0,347,0.25,0,0
"邑大张宇航",邑大张宇航,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,348,0,0,1
"爱学习-林蔚",爱学习-林蔚,,1,2,3,1,7,8,1,1,1,0,0.001671,0.034703,0.001109,0,299,0.333333,0.001946,0
"邑大郑飞松",邑大郑飞松,,0,2,2,0,16,16,1,1,1,0,0,0.034703,0.000914,0,349,0,0,0
YI kAI,YI kAI,,0,1,1,0,10,10,1,1,1,0,0,0.017418,0.000914,0,350,0,0,0
"呸呸呸mooc21",呸呸呸mooc21,,0,2,2,0,3,3,1,1,1,0,0,0.034703,0.000914,0,351,0,0,2
"潘孔斌",潘孔斌,,0,3,3,0,19,19,1,1,1,0,0,0.053723,0.000914,0,352,0,0,1
k1219353487190108143,k1219353487190108143,,0,3,3,0,18,18,1,1,1,0,0,0.053723,0.000914,0,353,0,0,0
"赵固二中韩相彦",赵固二中韩相彦,,0,2,2,0,7,7,1,1,1,0,0,0.034703,0.000914,0,354,0,0,2
mooc58719465996969287,mooc58719465996969287,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,355,0,0,1
mooc靳蕊,mooc靳蕊,,0,4,4,0,11,11,1,1,1,0,0,0.053775,0.000914,0,356,0.25,0,2
"苏建炳",苏建炳,,0,2,2,0,7,7,1,1,1,0,0,0.034703,0.000914,0,357,0,0,0
190735李家和,190735李家和,,0,2,2,0,9,9,1,1,1,0,0,0.034703,0.000914,0,358,0,0,0
190735黄子丹,190735黄子丹,,0,2,2,0,8,8,1,1,1,0,0,0.036438,0.000914,0,359,0,0,0
"昨日青空mooc43",昨日青空mooc43,,0,3,3,0,11,11,1,1,1,0,0,0.053723,0.000914,0,360,0,0,1
"秦淑霞",秦淑霞,,0,1,1,0,2,2,1,1,1,0,0,0.017418,0.000914,0,361,0,0,0
moocITC03,moocITC03,,0,3,3,0,10,10,1,1,1,0,0,0.053723,0.000914,0,362,0,0,1
"辉县市文昌小学张明杰",辉县市文昌小学张明杰,,0,3,3,0,13,13,1,1,1,0,0,0.053723,0.000914,0,363,0,0,1
"化石梅",化石梅,,0,3,3,0,6,6,1,1,1,0,0,0.053723,0.000914,0,364,0,0,2
YEFINA-,YEFINA-,,0,3,3,0,9,9,1,1,1,0,0,0.053723,0.000914,0,365,0,0,2
"廖永鹏-pano",廖永鹏-pano,,0,2,2,0,4,4,1,1,1,0,0,0.036438,0.000914,0,366,0,0,1
"罗建劼",罗建劼,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,367,0,0,2
"陳昱奇",陳昱奇,,0,2,2,0,8,8,1,1,1,0,0,0.034703,0.000914,0,368,0,0,0
mooc61277730131573924,mooc61277730131573924,,0,2,2,0,5,5,1,1,1,0,0,0.034703,0.000914,0,369,0,0,0
"张世君z",张世君z,,1,3,4,1,64,65,1,1,1,0,0.001727,0.053723,0.000953,0,67,0.25,0.001946,1
mooc59808254094485049,mooc59808254094485049,,0,2,2,0,8,8,1,1,1,0,0,0.034703,0.000914,0,370,0,0,2
"碧兰兰",碧兰兰,,0,3,3,0,12,12,1,1,1,0,0,0.053723,0.000914,0,371,0,0,1
"韓逗逗",韓逗逗,,0,1,1,0,2,2,1,1,1,0,0,0.017418,0.000914,0,372,0,0,0
1罢了,1罢了,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,373,0,0,2
"刘俊沣",刘俊沣,,0,3,3,0,8,8,1,1,1,0,0,0.053723,0.000914,0,374,0,0,1
"薛一mooc",薛一mooc,,0,3,3,0,7,7,1,1,1,0,0,0.053723,0.000914,0,375,0,0,2
alan74,alan74,,0,3,3,0,8,8,1,1,1,0,0,0.053723,0.000914,0,376,0,0,1
"贵师大物电王刚",贵师大物电王刚,,0,3,3,0,7,7,2,0.8,0.875,0,0,0.034736,0.000914,0,377,0.333333,0,2
"小萌物",小萌物,,2,3,5,2,11,13,1,1,1,0,0.003374,0.053723,0.001221,0,54,0.3,0.004783,1
18智11赵玉雯,18智11赵玉雯,,0,2,2,0,6,6,1,1,1,0,0,0.034703,0.000914,0,378,0,0,2
"李锦华账号",李锦华账号,,0,3,3,0,10,10,1,1,1,0,0,0.053723,0.000914,0,379,0,0,1
"任茜老师",任茜老师,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,380,0,0,2
mooc47175201677262735,mooc47175201677262735,,0,3,3,0,9,9,1,1,1,0,0,0.053723,0.000914,0,381,0,0,2
mooc29803358425261221,mooc29803358425261221,,0,3,3,0,8,8,1,1,1,0,0,0.053723,0.000914,0,382,0,0,1
"段景景辉县市第一初级中学",段景景辉县市第一初级中学,,0,3,3,0,12,12,1,1,1,0,0,0.053723,0.000914,0,383,0,0,2
SCNU20董晨阳,SCNU20董晨阳,,0,3,3,0,14,14,1,1,1,0,0,0.053723,0.000914,0,384,0,0,1
"谢迪26",谢迪26,,0,1,1,0,4,4,1,1,1,0,0,0.017418,0.000914,0,385,0,0,0
"太阳梁第二小学秋向虹",太阳梁第二小学秋向虹,,0,2,2,0,10,10,1,1,1,0,0,0.036438,0.000914,0,386,0,0,1
huamsl,huamsl,,0,1,1,0,2,2,1,1,1,0,0,0.017418,0.000914,0,387,0,0,0
XIAOXIKA,XIAOXIKA,,0,3,3,0,10,10,1,1,1,0,0,0.053723,0.000914,0,388,0,0,1
"李万春-",李万春-,,0,1,1,0,2,2,1,1,1,0,0,0.017418,0.000914,0,389,0,0,0
"沐梓颂",沐梓颂,,0,2,2,0,3,3,1,1,1,0,0,0.036438,0.000914,0,390,0,0,1
"马云飞15664082145",马云飞15664082145,,0,2,2,0,9,9,1,1,1,0,0,0.036438,0.000914,0,391,0,0,1
"大大静娃",大大静娃,,0,2,2,0,4,4,1,1,1,0,0,0.034703,0.000914,0,392,0,0,2
nana0000,nana0000,,0,3,3,0,8,8,1,1,1,0,0,0.053723,0.000914,0,393,0,0,1
"姜雪珂",姜雪珂,,0,1,1,0,2,2,1,1,1,0,0,0.017418,0.000914,0,394,0,0,0
mooc62463966409387003,mooc62463966409387003,,0,3,3,0,5,5,1,1,1,0,0,0.053723,0.000914,0,395,0,0,2
ykt1500551153563,ykt1500551153563,,0,1,1,0,1,1,1,1,1,0,0,0.017418,0.000914,0,396,0,0,0
Iffy1874,Iffy1874,,0,2,2,0,4,4,1,1,1,0,0,0.036438,0.000914,0,397,0,0,1
mooc岳岳0210,mooc岳岳0210,,0,2,2,0,7,7,1,1,1,0,0,0.036438,0.000914,0,398,0,0,1
"祥和社区小学韩迎",祥和社区小学韩迎,,0,2,2,0,6,6,1,1,1,0,0,0.036438,0.000914,0,399,0,0,1
Yang_yihong,Yang_yihong,,1,3,4,1,10,11,1,1,1,0,0.001672,0.053723,0.00107,0,325,0.25,0.001946,1
"张亮_2020",张亮_2020,,0,1,1,0,4,4,1,1,1,0,0,0.01902,0.000914,0,400,0,0,1
"安徒生式童话",安徒生式童话,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,401,0,0,1
mooc1535183082670,mooc1535183082670,,0,1,1,0,4,4,1,1,1,0,0,0.01902,0.000914,0,402,0,0,1
jingle1230,jingle1230,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,403,0,0,1
Meiyan2020mooc,Meiyan2020mooc,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,404,0,0,1
"开着坦克去月球",开着坦克去月球,,0,1,1,0,6,6,1,1,1,0,0,0.01902,0.000914,0,405,0,0,1
18智11曾泽鹏,18智11曾泽鹏,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,406,0,0,1
Lei_Zhili,Lei_Zhili,,0,2,2,0,4,4,1,1,1,0,0,0.036305,0.000914,0,407,0,0,1
"李辉410621198803204021",李辉410621198803204021,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,408,0,0,1
18智11袁艺文,18智11袁艺文,,0,1,1,0,2,2,1,1,1,0,0,0.01902,0.000914,0,409,0,0,1
"辉县市第四高级中学周冰晓",辉县市第四高级中学周冰晓,,0,2,2,0,4,4,1,1,1,0,0,0.036305,0.000914,0,410,0,0,2
sunguangrong722126com,sunguangrong722126com,,0,1,1,0,5,5,1,1,1,0,0,0.01902,0.000914,0,411,0,0,1
"荆山小学夏志强",荆山小学夏志强,,0,1,1,0,4,4,1,1,1,0,0,0.01902,0.000914,0,412,0,0,1
"顾77的新征途",顾77的新征途,,0,1,1,0,4,4,1,1,1,0,0,0.01902,0.000914,0,413,0,0,1
"城北学习者",城北学习者,,0,2,2,0,8,8,1,1,1,0,0,0.036305,0.000914,0,414,0,0,1
mooc838406859107617,mooc838406859107617,,0,2,2,0,6,6,1,1,1,0,0,0.036305,0.000914,0,415,0,0,1
"田恩学",田恩学,,0,2,2,0,5,5,2,0.666667,0.75,0,0,0.019039,0.000914,0,416,0.5,0,1
"饭团mooc84",饭团mooc84,,0,2,2,0,7,7,1,1,1,0,0,0.036305,0.000914,0,417,0,0,1
"易生只玺欢你mooc",易生只玺欢你mooc,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,418,0,0,2
"晓丽mooc23",晓丽mooc23,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,419,0,0,2
xiaokele,xiaokele,,0,2,2,0,6,6,1,1,1,0,0,0.036305,0.000914,0,420,0,0,1
"刘九九a",刘九九a,,0,1,1,0,1,1,1,1,1,0,0,0.017285,0.000914,0,421,0,0,2
"僅此而已mooc",僅此而已mooc,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,422,0,0,2
"郭欣欣欣欣欣",郭欣欣欣欣欣,,0,2,2,0,4,4,1,1,1,0,0,0.036305,0.000914,0,423,0,0,2
"喜笑妍开mooc",喜笑妍开mooc,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,424,0,0,2
"王娜wangna1987",王娜wangna1987,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,425,0,0,2
mooc41647707517782864,mooc41647707517782864,,0,2,2,0,6,6,1,1,1,0,0,0.036305,0.000914,0,426,0,0,1
jsnu18090029,jsnu18090029,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,427,0,0,2
18智11王儒,18智11王儒,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,428,0,0,2
18智11赵欣荣,18智11赵欣荣,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,429,0,0,2
jsnu18090003,jsnu18090003,,0,2,2,0,4,4,1,1,1,0,0,0.036305,0.000914,0,430,0,0,2
"张红彬1",张红彬1,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,431,0,0,2
1439395028,1439395028,,0,1,1,0,1,1,1,1,1,0,0,0.017285,0.000914,0,432,0,0,2
"白衣小哥哥",白衣小哥哥,,0,1,1,0,2,2,1,1,1,0,0,0.017285,0.000914,0,433,0,0,2
"图图奈奈",图图奈奈,,0,2,2,0,8,8,1,1,1,0,0,0.036305,0.000914,0,434,0,0,1
"单机少年",单机少年,,0,1,1,0,1,1,1,1,1,0,0,0.017285,0.000914,0,435,0,0,2
mengyue2020,mengyue2020,,0,2,2,0,4,4,1,1,1,0,0,0.036305,0.000914,0,436,0,0,2
